"appid","name","release_date","developer","publisher","positive_ratings","negative_ratings","average_playtime","median_playtime","price","total_ratings"
10,"Counter-Strike","2000-11-01","Valve","Valve",124534,3339,17612,317,7.19,127873
20,"Team Fortress Classic","1999-04-01","Valve","Valve",3318,633,277,62,3.99,3951
30,"Day of Defeat","2003-05-01","Valve","Valve",3416,398,187,34,3.99,3814
40,"Deathmatch Classic","2001-06-01","Valve","Valve",1273,267,258,184,3.99,1540
50,"Half-Life: Opposing Force","1999-11-01","Gearbox Software","Valve",5250,288,624,415,3.99,5538
60,"Ricochet","2000-11-01","Valve","Valve",2758,684,175,10,3.99,3442
70,"Half-Life","1998-11-08","Valve","Valve",27755,1100,1300,83,7.19,28855
80,"Counter-Strike: Condition Zero","2004-03-01","Valve","Valve",12120,1439,427,43,7.19,13559
130,"Half-Life: Blue Shift","2001-06-01","Gearbox Software","Valve",3822,420,361,205,3.99,4242
220,"Half-Life 2","2004-11-16","Valve","Valve",67902,2419,691,402,7.19,70321
240,"Counter-Strike: Source","2004-11-01","Valve","Valve",76640,3497,6842,400,7.19,80137
300,"Day of Defeat: Source","2010-07-12","Valve","Valve",10489,1210,1356,134,7.19,11699
320,"Half-Life 2: Deathmatch","2004-11-01","Valve","Valve",6020,787,311,32,3.99,6807
380,"Half-Life 2: Episode One","2006-06-01","Valve","Valve",7908,517,281,184,5.79,8425
400,"Portal","2007-10-10","Valve","Valve",51801,1080,288,137,7.19,52881
420,"Half-Life 2: Episode Two","2007-10-10","Valve","Valve",13902,696,354,301,5.79,14598
500,"Left 4 Dead","2008-11-17","Valve","Valve",17951,948,897,278,7.19,18899
550,"Left 4 Dead 2","2009-11-19","Valve","Valve",251789,8418,1615,566,7.19,260207
620,"Portal 2","2011-04-18","Valve","Valve",138220,1891,1102,520,7.19,140111
1200,"Red Orchestra: Ostfront 41-45","2006-03-14","Tripwire Interactive","Tripwire Interactive",1562,223,232,258,3.99,1785
1250,"Killing Floor","2009-05-14","Tripwire Interactive","Tripwire Interactive",53710,2649,1328,306,14.99,56359
1300,"SiN Episodes: Emergence","2006-05-10","Ritual Entertainment","Ritual Entertainment",468,61,0,0,7.19,529
1500,"Darwinia","2005-07-14","Introversion Software","Introversion Software",472,158,182,273,7.19,630
1510,"Uplink","2006-08-23","Introversion Software","Introversion Software",1602,152,65,77,6.99,1754
1520,"DEFCON","2006-09-29","Introversion Software","Introversion Software",2057,344,80,119,7.19,2401
1530,"Multiwinia","2008-09-19","Introversion Software","Introversion Software",368,75,121,224,7.19,443
1600,"Dangerous Waters","2006-02-07","Sonalysts","Strategy First",140,44,0,0,22.99,184
1610,"Space Empires IV Deluxe","2006-02-07","Malfador Machinations","Strategy First",112,26,0,0,6.99,138
1630,"Disciples II: Rise of the Elves ","2006-07-06","Strategy First","Strategy First",451,108,0,0,4.99,559
1640,"Disciples II: Gallean's Return","2006-07-06","Strategy First","Strategy First",490,152,9,12,4.99,642
1670,"Iron Warriors: T - 72 Tank Command ","2006-07-26","Strategy First","Strategy First",137,102,0,0,3.99,239
1690,"Space Empires V","2006-10-16","Malfador Machinations","Strategy First",191,85,35,35,10.99,276
1700,"Arx Fatalis","2007-04-03","Arkane Studios","Arkane Studios",671,106,11,21,2.99,777
1900,"Earth 2160","2006-04-01","Reality Pump Studios","Topware Interactive;ACE",498,238,405,414,3.99,736
1930,"Two Worlds Epic Edition","2009-04-30","Reality Pump Studios","Topware Interactive",2656,1055,484,422,6.99,3711
2100,"Dark Messiah of Might & Magic","2006-10-25","Arkane Studios","Ubisoft",4386,316,634,700,4.29,4702
2200,"Quake III Arena","2007-08-03","id Software","id Software",1362,66,123,103,12.99,1428
2210,"Quake IV","2011-08-04","RavenSoft / id Software","Bethesda Softworks",891,171,36,32,12.99,1062
2270,"Wolfenstein 3D","2007-08-03","id Software","Bethesda-Softworks",1773,87,69,110,2.99,1860
2280,"Ultimate Doom","2007-08-03","id Software","id Software",3705,257,125,179,3.99,3962
2290,"Final DOOM","2007-08-03","id Software","id Software",573,82,120,114,3.99,655
2300,"DOOM II","2007-08-03","id Software","id Software",2517,182,90,78,3.99,2699
2310,"QUAKE","2007-08-03","id Software","id Software",2618,136,167,189,3.99,2754
2320,"QUAKE II","2007-08-03","id Software","id Software",1369,107,291,349,3.99,1476
2350,"QUAKE III: Team Arena","2007-08-03","id Software","id Software",108,31,0,0,12.99,139
2360,"HeXen: Beyond Heretic","2007-08-03","Raven Software","id Software",249,26,50,50,2.99,275
2390,"Heretic: Shadow of the Serpent Riders","2007-08-03","Raven Software","id Software",417,29,0,0,2.99,446
2450,"Bloody Good Time","2010-10-29","Outerlight Ltd.","Ubisoft",662,204,193,193,4.29,866
2500,"Shadowgrounds","2006-05-08","Frozenbyte","Frozenbyte",973,248,186,258,3.99,1221
2590,"Alpha Prime","2007-11-07","Black Element","Bohemia Interactive",610,523,0,0,2.99,1133
2600,"Vampire: The Masquerade - Bloodlines","2007-03-22","Troika Games","Activision",6161,362,350,202,14.99,6523
2610,"GUN™","2006-10-13","Neversoft","Activision",740,87,462,889,9.99,827
2620,"Call of Duty®","2006-10-13","Infinity Ward","Activision",1555,117,545,849,14.99,1672
2630,"Call of Duty® 2","2006-10-13","Infinity Ward;Aspyr (Mac)","Activision;Aspyr (Mac)",2434,236,750,1041,14.99,2670
2640,"Call of Duty: United Offensive","2006-10-13","Gray Matter Studios","Activision",490,97,0,0,14.99,587
2710,"Act of War: Direct Action","2008-03-12","Eugen Systems","THQ Nordic",180,33,0,0,1.99,213
2780,"ARMA: Combat Operations","2008-03-12","Bohemia Interactive","Bohemia Interactive",145,77,0,0,5.99,222
2800,"X2: The Threat","2006-07-21","Egosoft","Egosoft",212,50,732,732,4.99,262
2810,"X3: Reunion","2006-07-21","Egosoft","Egosoft",282,113,831,1232,9.99,395
2820,"X3: Terran Conflict","2008-10-16","Egosoft","Egosoft",1633,272,972,1273,15.99,1905
2840,"X: Beyond the Frontier","2010-10-08","Egosoft","Egosoft",142,48,648,648,3.49,190
2870,"X Rebirth","2013-11-15","Egosoft","Egosoft",2832,4032,1744,3386,24.99,6864
2910,"Fleet Command","2006-10-26","Sonalysts","Strategy First",127,31,0,0,22.99,158
2990,"FlatOut 2™","2006-12-21","Bugbear Entertainment","Strategy First",5438,343,293,351,5.99,5781
3010,"Xpand Rally","2006-08-24","Techland","Techland",139,39,939,939,3.99,178
3020,"Call of Juarez™","2007-11-08","Techland","Techland Publishing",793,198,46,60,8.59,991
3050,"Xpand Rally Xtreme","2008-10-08","Techland","Techland",71,36,0,0,3.99,107
3130,"Men of War: Red Tide","2009-11-01","1C Entertainment","1C Entertainment;1C-SoftClub",294,69,0,0,3.99,363
3170,"King's Bounty: Armored Princess","2009-11-19","Katauri Interactive","1C Entertainment",482,53,1422,1429,7.99,535
3230,"Genesis Rising","2007-08-06","Metamorf","THQ Nordic",30,94,0,0,4.49,124
3260,"Safecracker: The Ultimate Puzzle Adventure","2007-08-29","Kheops Studio","HandyGames",256,172,1,1,4.49,428
3270,"Painkiller Overdose","2007-10-30","Mindware Studios","THQ Nordic",429,137,270,270,4.49,566
3330,"Zuma Deluxe","2006-08-30","PopCap Games, Inc.","PopCap Games, Inc.",437,37,267,267,4.25,474
3480,"Peggle Deluxe","2007-03-06","PopCap Games, Inc.","PopCap Games, Inc.",1106,66,214,254,4.25,1172
3540,"Peggle™ Nights","2008-10-15","PopCap Games, Inc.","PopCap Games, Inc.",368,24,237,237,4.25,392
3560,"Bejeweled Twist","2008-11-18","PopCap Games, Inc.","PopCap Games, Inc.",98,18,0,0,4.25,116
3590,"Plants vs. Zombies GOTY Edition","2009-05-05","PopCap Games, Inc.","PopCap Games, Inc.",14630,454,480,374,4.25,15084
3600,"Escape Rosecliff Island","2009-04-15","SpinTop Games","PopCap Games, Inc.",97,57,0,0,4.25,154
3620,"Zuma's Revenge!","2009-09-15","PopCap Games, Inc.","PopCap Games, Inc.",435,28,0,0,4.25,463
3700,"Sniper Elite","2009-07-16","Rebellion","Rebellion",1181,377,262,371,5.59,1558
3710,"Judge Dredd: Dredd vs. Death","2009-03-26","Rebellion","Rebellion",559,79,8,8,5.59,638
3720,"Evil Genius","2009-06-22","Elixir Studios","Rebellion",1847,95,287,318,6.99,1942
3730,"Aliens versus Predator Classic 2000","2010-01-15","Rebellion","Rebellion",1434,219,20,24,3.99,1653
3800,"Advent Rising","2006-09-14","GlyphX Games","Majesco Entertainment",260,71,0,0,7.19,331
3810,"BloodRayne","2006-09-14","Terminal Reality","Majesco Entertainment",369,110,111,111,6.99,479
3820,"BloodRayne 2","2006-09-14","Terminal Reality","Majesco Entertainment",259,103,771,771,6.99,362
3830,"Psychonauts","2006-10-11","Double Fine Productions","Double Fine Productions",8204,456,491,232,6.99,8660
3900,"Sid Meier's Civilization® IV","2006-10-25","Firaxis Games","2K",1394,129,49,64,9.99,1523
